,Annotation,accuracy,precision,sensitivity,specificity
5,CPLX0-250,0.997989949749,0.5,0.5,0.998992950655
0,CPLX0-7452,0.98391959799,0.0,0.0,0.990890688259
3,CPLX0-3964,0.994974874372,0.0,0.0,0.997983870968
4,CPLX0-3933,0.994974874372,0.0,0.0,0.997983870968
6,ATPSYN-CPLX,0.996984924623,0.0,0.0,0.998992950655
11,ABC-20-CPLX,0.997989949749,0.0,0.0,0.998993963783
12,ABC-22-CPLX,0.997989949749,0.0,0.0,0.998993963783
18,CPLX0-7725,0.996984924623,0.0,0.0,0.997987927565
21,ABC-13-CPLX,0.997989949749,0.0,0.0,0.998993963783
24,ABC-24-CPLX,0.997989949749,0.0,0.0,0.998993963783
25,ABC-25-CPLX,0.997989949749,0.0,0.0,0.998993963783
27,ABC-29-CPLX,0.996984924623,0.0,0.0,0.997987927565
30,ABC-35-CPLX,0.996984924623,0.0,0.0,0.997987927565
33,ABC-41-CPLX,0.995979899497,0.0,0.0,0.996981891348
36,ABC-52-CPLX,0.997989949749,0.0,0.0,0.998993963783
38,ABC-58-CPLX,0.997989949749,0.0,0.0,0.998993963783
42,ATPASE-1-CPLX,0.997989949749,0.0,0.0,0.998993963783
45,CPLX0-1762,0.997989949749,0.0,0.0,0.998993963783
55,CPLX0-8120,0.997989949749,0.0,0.0,0.998993963783
59,HCAMULTI-CPLX,0.997989949749,0.0,0.0,0.998993963783
1,CPLX0-3382,0.996984924623,,0.0,1.0
2,NADH-DHI-CPLX,0.996984924623,,0.0,1.0
7,CPLX0-3803,0.997989949749,,0.0,1.0
8,FHLMULTI-CPLX,0.997989949749,,0.0,1.0
9,ABC-8-CPLX,0.997989949749,,0.0,1.0
10,ABC-15-CPLX,0.998994974874,,0.0,1.0
13,ABC-304-CPLX,0.998994974874,,0.0,1.0
14,ABC-59-CPLX,0.998994974874,,0.0,1.0
15,CPLX0-2201,0.998994974874,,0.0,1.0
16,CPLX0-2381,0.998994974874,,0.0,1.0
17,CPLX0-3970,0.998994974874,,0.0,1.0
19,CPLX0-7992,0.998994974874,,0.0,1.0
20,ABC-10-CPLX,0.998994974874,,0.0,1.0
22,ABC-14-CPLX,0.998994974874,,0.0,1.0
23,ABC-16-CPLX,0.998994974874,,0.0,1.0
26,ABC-27-CPLX,0.998994974874,,0.0,1.0
28,ABC-3-CPLX,0.998994974874,,0.0,1.0
29,ABC-34-CPLX,0.998994974874,,0.0,1.0
31,ABC-4-CPLX,0.998994974874,,0.0,1.0
32,ABC-40-CPLX,0.998994974874,,0.0,1.0
34,ABC-46-CPLX,0.998994974874,,0.0,1.0
35,ABC-51-CPLX,0.998994974874,,0.0,1.0
37,ABC-55-CPLX,0.998994974874,,0.0,1.0
39,ABC-7-CPLX,0.998994974874,,0.0,1.0
40,ABC-70-CPLX,0.998994974874,,0.0,1.0
41,ABC-9-CPLX,0.998994974874,,0.0,1.0
43,CPLX0-1601,0.998994974874,,0.0,1.0
44,CPLX0-1721,0.998994974874,,0.0,1.0
46,CPLX0-1941,0.998994974874,,0.0,1.0
47,CPLX0-1942,0.998994974874,,0.0,1.0
48,CPLX0-1943,0.998994974874,,0.0,1.0
49,CPLX0-3323,0.998994974874,,0.0,1.0
50,CPLX0-3401,0.998994974874,,0.0,1.0
51,CPLX0-3970  ABC-22-CPLX,0.998994974874,,0.0,1.0
52,CPLX0-7935,0.998994974874,,0.0,1.0
53,CPLX0-7952,0.998994974874,,0.0,1.0
54,CPLX0-7958,0.998994974874,,0.0,1.0
56,CPLX0-8160,0.998994974874,,0.0,1.0
57,FORMHYDROG2-CPLX,0.998994974874,,0.0,1.0
58,FUMARATE-REDUCTASE,0.998994974874,,0.0,1.0
60,TATABCE-CPLX,0.998994974874,,0.0,1.0
